image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
16,image_0017.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0017.jpg,True,2099,20.4462,2099,20.1164,"[2099, 38459, 4594, 41801, 33331]","[20.4462, 20.2857, 15.5376, 12.6529, 7.6856]","[2099, 38459, 4594, 41801, 33331]","[20.1164, 20.0031, 15.2498, 12.3104, 7.5815]",5,5,[],[],True,38515,1.3725,38515,1.3911,"[38515, 25790, 45320, 32567, 33111]","[1.3725, 1.1241, 1.0745, 0.9378, 0.89]","[38515, 25790, 32567, 33111, 45320]","[1.3911, 1.1297, 0.9815, 0.9126, 0.8646]",5,5,[],[],0.7902,0.21,0.00022,45320,1.0745,0.8646,0.21,4039,0.0576,0.263,0.2054,17847,0.3044,0.1295,0.1749,34850,0.05,0.1952,0.1451,9226,0.1953,0.3246,0.1293
17,image_0018.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0018.jpg,True,2099,25.0044,2099,24.8491,"[2099, 38459, 4594, 41801, 33331]","[25.0044, 24.6985, 17.1743, 16.4394, 10.3303]","[2099, 38459, 4594, 41801, 33331]","[24.8491, 24.5726, 17.0615, 16.3464, 10.326]",5,5,[],[],True,34321,1.6389,34321,1.5467,"[34321, 38515, 25790, 25831, 27168]","[1.6389, 1.4967, 1.2683, 0.9354, 0.8962]","[34321, 38515, 25790, 29095, 25831]","[1.5467, 1.3798, 1.3098, 0.8196, 0.7913]",4,4,[27168],[29095],1.3839,0.3926,0.000416,6939,0.2014,0.594,0.3926,15064,0.0669,0.3508,0.2839,40151,0.8034,0.5287,0.2747,41381,0.2372,0.0079,0.2293,31230,0.4114,0.1982,0.2132
18,image_0019.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0019.jpg,True,38459,22.4489,38459,22.4597,"[38459, 2099, 4594, 41801, 33331]","[22.4489, 22.3956, 15.6004, 14.8082, 9.4765]","[38459, 2099, 4594, 41801, 33331]","[22.4597, 22.4572, 15.7352, 14.8377, 9.4663]",5,5,[],[],True,38515,1.0905,38515,1.1185,"[38515, 1834, 25790, 3642, 34605]","[1.0905, 0.8894, 0.8674, 0.8647, 0.8532]","[38515, 1834, 3642, 34605, 26055]","[1.1185, 1.0382, 0.8488, 0.8338, 0.7966]",4,4,[25790],[26055],1.397,0.588,0.000408,44876,0.588,0.0,0.588,16382,0.0099,0.3422,0.3323,23953,0.3272,0.0422,0.285,31372,0.296,0.0219,0.2741,11276,0.392,0.1181,0.2739
19,image_0020.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0020.jpg,True,2099,20.4774,2099,20.4756,"[2099, 38459, 4594, 41801, 33331]","[20.4774, 19.851, 16.1832, 12.2713, 8.0169]","[2099, 38459, 4594, 41801, 33331]","[20.4756, 19.8717, 16.2461, 12.2919, 8.0682]",5,5,[],[],False,34321,1.373,25790,1.3271,"[34321, 25790, 38515, 4559, 33093]","[1.373, 1.3429, 1.3426, 0.8736, 0.6431]","[25790, 34321, 38515, 17271, 45888]","[1.3271, 1.306, 1.1991, 0.6585, 0.6383]",3,3,"[4559, 33093]","[17271, 45888]",1.3193,0.4317,0.000395,43358,0.0,0.4317,0.4317,36126,0.2753,0.0,0.2753,4559,0.8736,0.6038,0.2699,45878,0.2455,0.0,0.2455,9439,0.0,0.2447,0.2447
20,image_0021.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0021.jpg,True,2099,23.901,2099,23.7174,"[2099, 38459, 4594, 41801, 33331]","[23.901, 23.0788, 18.2781, 15.785, 9.1273]","[2099, 38459, 4594, 41801, 33331]","[23.7174, 22.8941, 18.2428, 15.6276, 9.0767]",5,5,[],[],True,22475,3.27,22475,3.2936,"[22475, 38515, 38822, 25790, 34321]","[3.27, 1.8314, 1.412, 1.2347, 1.1607]","[22475, 38515, 38822, 25790, 32315]","[3.2936, 1.7168, 1.2691, 1.2392, 1.1611]",4,4,[34321],[32315],1.225,0.3055,0.000416,24149,0.4997,0.1943,0.3055,18257,0.2351,0.4992,0.264,47937,0.8035,1.049,0.2455,44628,0.0591,0.272,0.2128,25078,0.3622,0.5696,0.2074
21,image_0022.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0022.jpg,True,2099,22.3575,2099,22.0895,"[2099, 38459, 4594, 41801, 33331]","[22.3575, 21.9218, 17.197, 14.1262, 9.46]","[2099, 38459, 4594, 41801, 33331]","[22.0895, 21.7037, 16.9787, 13.9349, 9.3815]",5,5,[],[],True,38515,0.8937,38515,0.8722,"[38515, 40321, 25790, 38495, 11578]","[0.8937, 0.704, 0.5996, 0.598, 0.5839]","[38515, 40321, 25790, 35238, 42949]","[0.8722, 0.8362, 0.5978, 0.5745, 0.5694]",3,3,"[11578, 38495]","[35238, 42949]",0.9768,0.4137,0.000232,38495,0.598,0.1843,0.4137,21925,0.1678,0.0022,0.1657,37238,0.0,0.1576,0.1576,35238,0.4219,0.5745,0.1526,44131,0.0664,0.2152,0.1488
22,image_0023.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0023.jpg,True,2099,23.1681,2099,23.0384,"[2099, 38459, 4594, 41801, 33331]","[23.1681, 22.1955, 18.4017, 15.6019, 8.3433]","[2099, 38459, 4594, 41801, 33331]","[23.0384, 22.0528, 18.3172, 15.4938, 8.2457]",5,5,[],[],True,32698,2.5178,32698,2.2323,"[32698, 17843, 9554, 34321, 38515]","[2.5178, 1.5805, 1.4028, 1.2453, 1.2197]","[32698, 9554, 17843, 34321, 38515]","[2.2323, 1.4947, 1.2955, 1.1318, 1.0798]",5,5,[],[],1.2369,0.3994,0.000291,34397,0.6718,0.2725,0.3994,29151,0.0334,0.3952,0.3618,3903,0.3274,0.0,0.3274,32698,2.5178,2.2323,0.2856,17843,1.5805,1.2955,0.2849
23,image_0024.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0024.jpg,True,2099,19.2712,2099,19.3036,"[2099, 38459, 4594, 41801, 33331]","[19.2712, 19.2039, 14.3279, 11.5478, 7.0053]","[2099, 38459, 4594, 41801, 33331]","[19.3036, 19.2126, 14.366, 11.571, 7.1163]",5,5,[],[],False,38515,1.3952,34214,1.3137,"[38515, 34214, 34321, 14654, 26447]","[1.3952, 1.1709, 1.1206, 0.9579, 0.939]","[34214, 38515, 34321, 14654, 25790]","[1.3137, 1.1053, 1.0441, 1.0354, 0.8991]",4,4,[26447],[25790],1.8985,0.4089,0.000592,36615,0.0274,0.4363,0.4089,3347,0.8088,0.403,0.4058,43358,0.0,0.3772,0.3772,24317,0.3404,0.7156,0.3752,27552,0.0,0.3507,0.3507
24,image_0025.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0025.jpg,True,2099,20.6848,2099,20.7875,"[2099, 38459, 4594, 41801, 33331]","[20.6848, 20.4104, 15.9427, 12.8259, 7.9698]","[2099, 38459, 4594, 41801, 33331]","[20.7875, 20.4432, 16.1042, 12.9579, 7.968]",5,5,[],[],True,25790,1.9095,25790,1.986,"[25790, 38515, 21838, 34321, 5037]","[1.9095, 1.557, 1.4112, 1.3583, 0.9981]","[25790, 21838, 38515, 34321, 41189]","[1.986, 1.7404, 1.5131, 1.4036, 1.0619]",4,4,[5037],[41189],0.9036,0.3292,0.000273,21838,1.4112,1.7404,0.3292,21553,0.3391,0.5135,0.1744,29166,0.1477,0.0,0.1477,17435,0.2426,0.3785,0.1359,20114,0.0393,0.1631,0.1238
25,image_0026.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0026.jpg,True,2099,21.4827,2099,21.6383,"[2099, 38459, 4594, 41801, 33331]","[21.4827, 21.47, 15.0473, 13.6504, 8.9893]","[2099, 38459, 4594, 41801, 33331]","[21.6383, 21.5071, 15.409, 13.8428, 9.0079]",5,5,[],[],True,38515,1.0946,38515,0.9973,"[38515, 25790, 29095, 34321, 29767]","[1.0946, 0.9782, 0.7401, 0.7108, 0.5269]","[38515, 25790, 29095, 34321, 8292]","[0.9973, 0.908, 0.6661, 0.6489, 0.6124]",4,4,[29767],[8292],1.0142,0.2637,0.000243,2150,0.2637,0.0,0.2637,46429,0.4958,0.2365,0.2593,16619,0.3183,0.5744,0.2561,43353,0.0367,0.2915,0.2548,48570,0.0,0.1603,0.1603
26,image_0027.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0027.jpg,True,2099,22.4982,2099,22.0427,"[2099, 38459, 4594, 41801, 33331]","[22.4982, 21.9864, 16.9653, 14.0439, 9.1357]","[2099, 38459, 4594, 41801, 33331]","[22.0427, 21.6404, 16.5135, 13.5642, 8.9983]",5,5,[],[],False,38515,1.2174,34205,1.2186,"[38515, 34205, 4670, 25790, 470]","[1.2174, 1.1564, 1.0373, 1.0198, 0.8754]","[34205, 38515, 4670, 25790, 470]","[1.2186, 1.2141, 1.0403, 1.0389, 0.8828]",5,5,[],[],0.5935,0.2196,0.000144,10942,0.2196,0.0,0.2196,38038,0.0579,0.2146,0.1568,27482,0.162,0.0437,0.1183,48025,0.3933,0.4887,0.0953,10842,0.6408,0.728,0.0872
27,image_0028.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0028.jpg,True,38459,22.3554,38459,22.5041,"[38459, 2099, 4594, 41801, 33331]","[22.3554, 22.0691, 15.8124, 13.4055, 9.6155]","[38459, 2099, 4594, 41801, 33331]","[22.5041, 22.3405, 16.1328, 13.7863, 9.703]",5,5,[],[],True,12273,2.3612,12273,2.3219,"[12273, 22505, 38515, 36126, 34321]","[2.3612, 1.4139, 1.2781, 1.1563, 0.9338]","[12273, 22505, 38515, 34321, 36126]","[2.3219, 1.3035, 1.2407, 0.9608, 0.8825]",5,5,[],[],0.8382,0.2738,0.000231,36126,1.1563,0.8825,0.2738,43358,0.0,0.2154,0.2154,34625,0.4185,0.5749,0.1564,14253,0.1525,0.0,0.1525,28070,0.1751,0.3145,0.1394
28,image_0029.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0029.jpg,True,2099,22.5723,2099,22.65,"[2099, 38459, 4594, 41801, 33331]","[22.5723, 21.6844, 17.6775, 15.1866, 8.0728]","[2099, 38459, 4594, 41801, 33331]","[22.65, 21.6896, 17.7826, 15.3615, 8.0805]",5,5,[],[],False,38515,1.1153,45159,1.1902,"[38515, 45159, 25790, 34321, 34605]","[1.1153, 1.1057, 0.7972, 0.6467, 0.6298]","[45159, 38515, 25790, 34321, 45010]","[1.1902, 1.0927, 0.7652, 0.6782, 0.6676]",4,4,[34605],[45010],0.9276,0.4298,0.000207,45010,0.2378,0.6676,0.4298,42880,0.2956,0.0,0.2956,13897,0.0213,0.2771,0.2558,13649,0.0538,0.294,0.2401,13907,0.0827,0.2322,0.1495
